zip,latitude,longitude
4761,46.119,-67.9726
80331,48.13513,11.58198
1863,42.6324,-71.3918
65265,39.1882,-91.8924
59084,47.0368,-108.596
23228,37.60765,-77.47693
C0A 2A0,46.43669,-62.64269
95635,38.9127,-120.904
86312,34.61,-112.315
98198,47.40177,-122.32429
48555,43.056,-83.748
H2Y 2E8,45.50021,-73.55664
25840,38.09205,-81.14399
12442,42.2384,-74.2059
66873,38.6071,-96.6614
66431,38.879,-96.0176
L2G 1R6,43.08956,-79.08494
19047,40.1816,-74.9144
30259,33.2663,-84.7408
78235,29.3423,-98.4394
15530,39.98591,-78.7728
16061,41.0188,-79.8755
51108,42.5567,-96.3605
64070,38.8925,-94.17185
44146,41.367,-81.50394
66843,38.14761,-96.6852
L6A 1C1,43.85176,-79.52728
65459,38.07504,-91.97683
19188,39.9642,-75.1606
57703,44.0261,-103.076
42241,36.8658,-87.4888
25421,39.3836,-78.1558
75156,32.33459,-96.15136
33527,27.90864,-82.1862
35902,34.0145,-86.0064
83414,43.68715,-110.73549
70597,48.74663,9.1701
77075,29.6203,-95.2667
65760,36.5904,-92.2572
14140,42.8184,-78.6755
63851,36.17561,-89.82942
42038,37.03005,-88.0403
33673,27.9943,-82.4596
32605,29.6769,-82.3718
73143,35.433,-97.5247
95688,38.4195,-122.027
61322,41.3278,-89.2998
75086,33.0197,-96.6988
7801,40.9293,-74.5472
97471,43.29623,-123.47647
26845,39.23927,-78.92114
16565,42.0689,-80.0998
15530,39.9098,-78.9784
5873,44.4635,-72.2231
16301,41.4798,-79.6741
30294,33.62021,-84.32889
28757,35.6486,-82.3016
63632,37.2995,-90.2694
76635,31.7447,-96.6798
7036,40.6216,-74.2296
34134,26.39953,-81.83953
88007,32.3733,-106.845
62361,39.54686,-90.62042
RG30 1EL,51.46135,-1.01033
27530,35.35655,-77.97387
96011,41.0197,-121.908
66403,39.872,-96.2966
L4K 4K9,43.79887,-79.52618
87518,36.4765,-106.58
49071,42.229,-85.7778
16679,40.1806,-78.2117
90061,33.90745,-118.27792
N0M 1V0,43.21797,-81.30137
97348,44.38874,-123.0662
97031,45.67901,-121.55452
32025,30.1693,-82.6274
80945,38.8362,-104.795
55339,44.741,-93.9812
44105,41.45732,-81.63386
94222,-0.93484,119.85639
R3C 3X2,49.89514,-97.13837
32751,28.62778,-81.36312
62969,37.1687,-89.3517
15761,40.6372,-78.8827
V2X 6G2,49.21932,-122.5984
69355,41.7843,-103.516
43903,40.4781,-80.9731
602,18.3974,-67.1679
13599,43.0968,-75.2283
48140,41.8801,-83.5798
63180,38.629,-90.204
8067,39.73,-75.4
30555,34.97885,-84.37856
44035,41.36838,-82.10765
6414,41.5636,-72.5568
68415,40.04489,-96.85654
69145,41.23,-103.65
94017,37.6977,-122.479
78757,30.3516,-97.7324
64113,39.0141,-94.5957
2123,42.3463,-71.0871
68869,41.02362,-98.74785
90003,33.965,-118.273
26761,39.27,-78.7018
16441,41.9366,-79.9864
89199,36.1743,-115.139
83450,43.8413,-112.4761
82833,44.6833,-106.991
74010,35.77703,-96.26611
99260,47.6631,-117.423
87827,34.3349,-108.272
42746,37.2156,-85.7519
62097,38.9557,-89.8642
7512,40.904,-74.2218
58759,47.8053,-101.295
17322,39.8329,-76.5923
44223,41.1692,-81.5269
77218,29.826,-95.6499
53207,43.06,-87.96
95334,37.3586,-120.748
93067,34.4214,-119.596
14304,43.11533,-78.98538
80461,39.2128,-106.34
45822,40.43785,-84.56218
54002,44.96,-92.37
63824,37.0044,-89.5269
49454,43.9497,-86.2889
34141,25.91056,-81.36444
6001,41.7904,-72.8686
55063,45.8356,-92.9649
63873,36.37256,-89.61647
55447,45.0033,-93.4897
84143,40.7785,-111.88
81403,38.32499,-107.77978
10257,40.7142,-74.0064
7927,40.82176,-74.45001
59722,46.37,-112.72
22446,38.1996,-77.3893
63383,38.81171,-91.13043
68517,40.945,-96.6031
33694,28.0704,-82.4955
53704,43.11833,-89.37956
22554,38.4352,-77.3813
15682,40.6845,-79.6617
519-890,35.02249,127.17673
N0B 2N0,43.54012,-80.55352
98577,46.66177,-123.42543
20241,38.8957,-77.0509
62049,39.1415,-89.5029
89506,39.6838,-119.858
12804,43.3481,-73.6782
99918,56.0375,-132.61667
75834,31.2579,-95.0399
35055,34.18414,-86.79295
44136,41.3198,-81.8115
36375,31.0914,-85.5835
35213,33.5023,-86.7466
51431,42.3414,-95.3809
7510,40.9109,-74.1727
15104,40.39896,-79.84088
30168,33.7868,-84.5901
50167,41.75061,-94.00826
27939,36.2412,-75.9023
87512,36.9654,-105.429
62999,37.8957,-89.0516
80448,39.413,-105.612
80420,39.3185,-106.099
75566,33.17,-94.54
74959,35.2663,-94.6624
E7L,46.58206,-67.28923
10549,41.2,-73.73
D12 Y654,53.3302,-6.31057
93670,36.4867,-119.259
74741,33.80954,-96.20443
45836,40.76202,-83.61356
32058,30.0817,-82.1074
32328,29.8852,-84.8748
60942,40.46,-87.67
46546,41.6616,-86.1588
8052,39.9516,-74.9946
15931,40.48942,-78.74762
84098,40.7435,-111.546
D12 Y389,53.3302,-6.31057
72773,35.9258,-93.9075
L0G,43.90219,-79.6527
68710,42.42577,-96.8351
J7T 1L3,45.30875,-74.02734
76802,31.74,-98.94
55488,44.98,-93.2635
41031,38.27285,-84.36577
49272,42.3914,-84.3533
35253,33.487,-86.7413
14947,52.13139,13.21625
23001,37.2801,-76.4407
78004,29.858,-98.5342
55427,45.02272,-93.36401
61421,41.17994,-89.68162
16503,42.1275,-80.0612
18101,40.59,-75.47
55105,44.935,-93.1661
91344,34.2802,-118.498
35503,33.91011,-87.26945
97907,44.4221,-117.451
11377,40.7439,-73.9053
44073,41.4944,-81.3409
36753,31.8356,-87.1016
S0G 5E0,50.04796,-104.62731
83220,42.3321,-111.372
13613,44.8594,-74.7063
M5V 1J5,43.64625,-79.39045
G8Y,46.35468,-72.58379
30294,33.6382,-84.2654
4984,44.6966,-70.2807
44021,41.37061,-81.0651
15012,40.12452,-79.87977
13057,43.06,-76.07
20646,38.54484,-77.07831
66209,38.9022,-94.6385
2461,42.3182,-71.2087
81047,38.12223,-102.31158
51546,41.69339,-95.81429
6904,41.0537,-73.539
82219,42.3853,-104.333
45840,41.0289,-83.6494
20607,38.6692,-77.0267
35072,33.0976,-86.1025
16050,41.0434,-79.7561
H3J 2S9,45.48378,-73.57961
12473,42.273,-74.0692
15533,39.9661,-78.259
66420,39.0837,-95.8889
65640,37.7041,-93.5205
13060,43.0229,-76.4237
11053,40.8412,-73.7015
55111,44.88476,-93.22228
91341,49.66499,10.92266
66701,37.83,-94.7
45772,39.1396,-81.8063
P0M 1N0,46.4692,-81.05994
30021,33.8019,-84.2436
71029,32.845,-93.8193
61725,40.6204,-89.0976
17106,40.2315,-76.8195
14420,43.2485,-77.9306
50151,41.006,-93.5205
56481,46.4671,-94.8901
V31 RT44,52.44605,-9.48537
74052,36.0854,-96.5828
14754,42.0267,-78.1924
19010,40.023,-75.3151
60599,41.7723,-88.3606
56731,48.9214,-97.0933
V8W,48.42842,-123.36564
68871,41.0941,-98.8928
40280,38.2465,-85.6854
27544,36.22737,-78.52194
45216,39.1981,-84.4817
8320,39.3818,-75.2206
47934,40.039,-86.9215
T2G,51.03616,-114.04383
24555,37.63,-79.45
11228,40.61962,-74.00425
54650,43.92913,-91.25792
K7L 3N6,44.22528,-76.49514
60527,41.8,-87.92
98446,47.131,-122.375
21794,39.2993,-76.9713
98012,47.8402,-122.196
45174,39.1584,-84.3112
71209,32.5301,-92.0749
65440,37.5691,-91.1544
51029,42.8669,-95.5938
92326,34.243,-117.202
25705,38.4038,-82.3597
4958,44.85646,-69.89739
54413,44.2909,-90.1894
N4N 2A1,44.15845,-81.01633
26463,39.435,-80.3539
80504,40.1573,-105.009
83435,43.9365,-112.592
51019,42.2982,-95.729
42436,37.34298,-87.51733
45306,40.4643,-84.1849
94618,37.843,-122.239
50597,42.9546,-94.4815
23276,37.5596,-77.4468
31406,31.98466,-81.05206
K0B 1L0,45.54122,-74.98859
24078,36.72,-79.91
52656,40.71,-91.45
48092,42.5134,-83.059
79562,32.2506,-99.8906
79704,31.9091,-102.118
72955,35.5878,-94.4355
30084,33.85,-84.22
62478,39.2069,-87.7272
30620,33.9254,-83.7305
CT15 5JA,51.19325,1.29277
61364,41.08503,-88.95619
19037,39.9049,-75.3885
76860,49.88286,0.94876
38063,35.7348,-89.67452
M7A 2G1,43.65102,-79.37198
33177,25.6007,-80.4075
J0E,45.21844,-72.76715
23460,36.8117,-76.0306
36135,32.3859,-86.1474
95938,39.61,-121.77
20640,38.5236,-77.1913
18635,41.0389,-76.1727
41647,37.4275,-82.7438
82941,42.86439,-110.07099
V8Z 1B4,48.44643,-123.37729
68954,40.568,-98.2218
61234,41.409,-89.9146
23868,36.75,-77.85
G0L,48.29407,-68.8669
77422,28.9272,-95.5834
78253,29.4796,-98.787
72260,34.7463,-92.2894
8054,39.9358,-74.9091
N0G,43.6617,-80.84941
91915,32.6216,-116.937
56185,43.7757,-95.8332
91921,32.6474,-117.055
64198,39.1032,-94.5814
12528,41.69482,-74.05125
62766,39.7725,-89.6059
44455,40.776,-80.6106
28756,35.3435,-82.1739
98801,47.42346,-120.31035
33563,28.01,-82.14
65803,37.3202,-93.2988
43501,41.66,-84.43
45441,39.6464,-84.1675
71266,32.7107,-91.4895
4862,44.2596,-69.2573
32710,28.6125,-81.4986
95018,37.06967,-122.05857
22630,38.93317,-78.24761
27625,35.8198,-78.571
85201,33.44,-111.85
63021,38.59255,-90.58707
97032,45.1757,-122.774
47616,38.2079,-87.9244
15050,40.5387,-80.4379
51572,41.995,-95.7916
N3A 1P9,43.37946,-80.71111
79410,33.5715,-101.89
63074,38.73094,-90.38896
D12 NP74,53.3302,-6.31057
78269,29.5669,-98.6134
10474,40.79313,-73.88601
V3C 2A9,49.26284,-122.78107
92661,33.6016,-117.902
30069,33.9165,-84.5197
59353,46.965,-104.249
47106,38.4554,-85.9137
82844,44.6449,-107.335
29006,33.9,-81.54
43772,39.8825,-81.5366
13468,42.83618,-74.85348
69201,42.55785,-100.61684
97203,53.13551,-57.66044
52591,41.331,-92.1821
75432,33.3865,-95.53384
91382,34.3796,-118.528
R2R 1V5,49.93334,-97.22823
70126,29.9961,-90.0035
58223,47.5414,-96.9738
46348,41.309,-86.861
42782,37.335,-85.6536
52324,42.00453,-91.81233
60953,40.63,-87.6492
39208,32.27459,-90.13203
80202,39.7512,-104.998
36250,33.7703,-85.9008
V1X,49.89002,-119.39545
63079,38.2744,-91.1057
39440,31.6875,-89.1116
32578,30.5014,-86.3984
36113,32.3806,-86.3441
K7M 3L7,44.26216,-76.54371
66040,38.34,-94.76
23696,37.21039,-76.38688
2269,42.2528,-71.0025
80263,39.833,-105.009
10258,40.7142,-74.0064
6612,41.2661,-73.3023
49022,42.11,-86.44
16322,41.5897,-79.3786
98540,46.9679,-122.835
21650,39.3146,-75.8036
47362,39.97048,-85.35497
49950,47.41579,-88.2976
57574,43.0973,-101.44
54157,45.07351,-87.86768
87583,35.2436,-105.368
98274,48.35921,-122.24661
87557,36.2692,-105.543
84061,40.7654,-111.287
65109,38.58923,-92.26304
63563,40.37365,-92.18463
70774,30.2044,-90.8015
6432,-30.778,121.489
87032,34.864,-106.052
48821,42.64559,-84.64887
91412,34.2249,-118.449
58725,48.4159,-101.713
19529,40.63028,-75.87663
83113,42.5665,-110.312
19009,40.1314,-75.0679
72032,35.0822,-92.366
5406,44.488,-73.2261
99645,61.772,-148.183
10023,40.7761,-73.9841
59312,46.7195,-106.293
40121,37.8948,-85.9564
54488,44.8155,-90.317
6444,41.5625,-72.9343
59436,47.6169,-112.099
48423,43.0361,-83.513
47443,38.9575,-87.1158
3266,43.75674,-71.94869
45044,39.3845,-84.37355
G5C,49.19027,-68.26094
33881,28.0577,-81.7042
4471,45.8952,-67.8479
45894,40.7697,-84.4645
73734,35.9876,-97.9043
45133,39.15201,-83.48492
15061,40.63201,-80.41395
J0Z 2R0,47.35377,-79.35188
29506,34.2096,-79.7279
53965,43.61789,-89.68162
43112,39.7986,-82.7037
15042,40.6914,-80.2006
83452,43.824,-111.204
M9N 1V9,43.70023,-79.51508
19373,39.9022,-75.537
63038,38.58283,-90.6629
77833,30.16711,-96.39769
70714,30.5904,-91.1319
64150,39.09,-94.58
63460,40.0367,-92.2597
2112,42.36007,-71.05883
95152,37.4157,-121.822
56265,44.95418,-95.64301
16101,40.97,-80.18667
75222,32.7835,-96.8003
63944,37.0918,-90.4601
67108,37.8273,-97.6688
K1N 7B9,45.42517,-75.68833
94581,38.2975,-122.284
95456,39.2859,-123.784
MK40 1RZ,52.13597,-0.46666
55007,45.9406,-92.9606
LL13,53.0101,-2.98721
42028,37.2187,-88.4032
37211,36.0657,-86.7236
45663,38.7482,-83.1013
72832,35.4271,-93.6751
83860,48.17697,-116.4087
10453,40.8528,-73.9133
68458,40.2187,-96.52
21677,38.5122,-76.1809
642127,10.32359,76.951
12580,41.84737,-73.86514
93714,36.7333,-119.784
32175,29.2855,-81.0561
14423,42.9421,-77.8306
97227,45.5435,-122.674
99669,60.4453,-151.179
560098,12.90085,77.52302
